id,name,type,abilities,moves,health,attack,defense,special-attack,special-defense,speed,height,weight,generation,shape,colour,bmi,base_stat,m/s,kEnergy
11,metapod,bug,shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb",50,20,55,25,25,30,7,99,1.0,squiggle,green,20.204081632653065,205,3.9965376,79.06294830165811
12,butterfree,"bug, flying","compound-eyes, tinted-lens","razor-wind, gust, whirlwind, headbutt, tackle, take-down, double-edge, supersonic, psybeam, hyper-beam, mega-drain, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, toxic, confusion, psychic, rage, teleport, mimic, double-team, harden, reflect, bide, swift, dream-eater, flash, psywave, rest, substitute, thief, nightmare, snore, curse, protect, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, baton-pass, sweet-scent, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, facade, skill-swap, secret-power, air-cutter, silver-wind, signal-beam, aerial-ace, iron-defense, roost, natural-gift, tailwind, u-turn, air-slash, bug-buzz, energy-ball, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, rage-powder, quiver-dance, round, acrobatics, struggle-bug, electroweb, hurricane, draining-kiss, confide, infestation, pollen-puff, dual-wingbeat",60,45,50,90,80,70,11,320,1.0,bug-wings,white,26.446280991735534,395,9.325254399999999,1391.3659139955093
13,weedle,"bug, poison","shield-dust, run-away","poison-sting, string-shot, bug-bite, electroweb",40,35,30,20,20,50,3,32,1.0,armor,brown,35.55555555555556,195,6.660895999999999,70.98805683650559
14,kakuna,"bug, poison",shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb",45,25,50,25,25,35,6,100,1.0,squiggle,yellow,27.77777777777778,205,4.662627199999999,108.70046203089916
15,beedrill,"bug, poison","swarm, sniper","swords-dance, cut, headbutt, fury-attack, take-down, double-edge, poison-sting, twineedle, pin-missile, hyper-beam, peck, mega-drain, solar-beam, string-shot, toxic, agility, rage, mimic, double-team, harden, reflect, focus-energy, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, protect, sludge-bomb, outrage, giga-drain, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, sweet-scent, hidden-power, sunny-day, rock-smash, facade, brick-break, knock-off, endeavor, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, tailwind, u-turn, payback, assurance, toxic-spikes, poison-jab, x-scissor, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, round, acrobatics, struggle-bug, electroweb, drill-run, fell-stinger, confide, infestation, laser-focus, throat-chop, brutal-swing",65,90,40,45,80,75,10,295,1.0,bug-wings,yellow,29.5,395,9.991344,1472.447585163456
16,pidgey,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, feint-attack, mud-slap, foresight, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, brave-bird, defog, captivate, ominous-wind, round, work-up, hurricane, confide",40,45,40,35,35,56,3,18,1.0,wings,brown,20.0,251,7.460203519999999,50.089172903838346
17,pidgeotto,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, defog, captivate, ominous-wind, round, work-up, hurricane, confide",63,60,55,50,50,71,11,300,1.0,wings,brown,24.793388429752063,349,9.458472319999998,1341.9404794230923
18,pidgeot,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, hyper-beam, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, giga-impact, defog, captivate, ominous-wind, round, work-up, hurricane, confide, laser-focus",83,80,75,70,70,101,15,395,1.0,wings,brown,17.555555555555557,479,13.455009919999998,3575.4865159591427
19,rattata,normal,"run-away, guts, hustle","cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, water-gun, ice-beam, blizzard, bubble-beam, counter, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, screech, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, flame-wheel, snore, curse, reversal, protect, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, revenge, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, me-first, last-resort, sucker-punch, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, final-gambit, work-up, wild-charge, confide, laser-focus",30,56,35,25,35,72,3,35,1.0,quadruped,purple,38.88888888888889,253,9.591690239999998,161.00091290519467
20,raticate,normal,"run-away, guts, hustle","swords-dance, cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, counter, strength, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, snore, curse, protect, scary-face, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, last-resort, sucker-punch, giga-impact, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, work-up, wild-charge, confide, laser-focus, throat-chop, stomping-tantrum",55,81,60,50,70,97,7,185,1.0,quadruped,brown,37.75510204081633,413,12.922138239999999,1544.58032441645
21,spearow,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt, fury-attack, take-down, double-edge, leer, growl, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, scary-face, feint-attack, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide",40,60,30,31,31,70,3,20,1.0,wings,brown,22.22222222222222,262,9.325254399999999,86.96036962471933
22,fearow,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt, fury-attack, take-down, double-edge, leer, growl, hyper-beam, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, giga-impact, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide, laser-focus, throat-chop",65,90,65,61,61,100,12,380,1.0,wings,brown,26.38888888888889,442,13.321791999999999,3371.9326997340154
23,ekans,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, disable, acid, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, leech-life, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, beat-up, stockpile, spit-up, swallow, torment, facade, knock-off, snatch, secret-power, poison-fang, rock-tomb, mud-shot, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, toxic-spikes, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, snarl, belch, confide, infestation, brutal-swing, psychic-fangs, scale-shot, skitter-smack, lash-out, tera-blast, trailblaze",35,60,44,40,54,55,20,69,1.0,squiggle,purple,1.725,288,7.3269855999999995,185.21227703999537
24,arbok,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, acid, hyper-beam, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, leech-life, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pain-split, iron-tail, hidden-power, rain-dance, sunny-day, crunch, stockpile, spit-up, swallow, torment, facade, knock-off, snatch, secret-power, poison-fang, rock-tomb, mud-shot, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, toxic-spikes, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, giga-impact, thunder-fang, ice-fang, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, dragon-tail, snarl, belch, confide, infestation, throat-chop, brutal-swing, psychic-fangs, stomping-tantrum, breaking-swipe, scale-shot, skitter-smack, lash-out, tera-blast, trailblaze",60,95,69,65,79,80,35,650,1.0,squiggle,purple,5.3061224489795915,448,10.6574336,3691.3789554982905
25,pikachu,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, spark, attract, sleep-talk, return, frustration, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, rock-smash, uproar, facade, focus-punch, charge, helping-hand, brick-break, knock-off, endeavor, secret-power, fake-tears, signal-beam, covet, volt-tackle, calm-mind, shock-wave, natural-gift, feint, fling, magnet-rise, nasty-plot, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, disarming-voice, draining-kiss, play-rough, play-nice, confide, eerie-impulse, electric-terrain, nuzzle, laser-focus, rising-voltage, tera-blast, trailblaze, alluring-voice, upper-hand",35,55,40,50,50,90,4,60,1.0,quadruped,yellow,37.49999999999999,320,11.9896128,431.25244528177154
26,raichu,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, hyper-beam, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, spark, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, rock-smash, fake-out, uproar, facade, focus-punch, charge, helping-hand, brick-break, knock-off, endeavor, secret-power, signal-beam, covet, calm-mind, shock-wave, natural-gift, feint, fling, magnet-rise, focus-blast, giga-impact, nasty-plot, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, disarming-voice, draining-kiss, play-rough, play-nice, confide, eerie-impulse, electric-terrain, nuzzle, laser-focus, speed-swap, brutal-swing, rising-voltage, tera-blast, trailblaze, alluring-voice, upper-hand",60,90,55,90,80,110,8,300,1.0,upright,yellow,46.87499999999999,485,14.653971199999999,3221.083078956441
27,sandshrew,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, poison-sting, submission, low-kick, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, agility, rage, mimic, double-team, defense-curl, bide, swift, skull-bash, amnesia, leech-life, fury-swipes, rest, rock-slide, super-fang, slash, substitute, thief, snore, curse, flail, protect, mud-slap, spikes, detect, sandstorm, endure, rollout, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, magnitude, dynamic-punch, rapid-spin, iron-tail, metal-claw, hidden-power, sunny-day, rock-smash, facade, focus-punch, brick-break, knock-off, endeavor, secret-power, crush-claw, rock-tomb, sand-tomb, aerial-ace, mud-shot, covet, gyro-ball, natural-gift, fling, poison-jab, night-slash, x-scissor, earth-power, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, smack-down, round, chip-away, bulldoze, work-up, rototiller, confide, high-horsepower, throat-chop, stomping-tantrum, steel-roller, scorching-sands, tera-blast",50,75,85,20,30,40,6,120,1.0,upright,yellow,33.333333333333336,300,5.3287168,170.3713364076134
28,sandslash,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, poison-sting, pin-missile, hyper-beam, submission, low-kick, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, agility, rage, mimic, double-team, defense-curl, bide, swift, skull-bash, amnesia, leech-life, fury-swipes, rest, rock-slide, super-fang, slash, substitute, thief, snore, curse, flail, protect, mud-slap, spikes, detect, sandstorm, endure, rollout, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, magnitude, dynamic-punch, rapid-spin, iron-tail, metal-claw, hidden-power, sunny-day, rock-smash, facade, focus-punch, brick-break, knock-off, endeavor, secret-power, crush-claw, rock-tomb, sand-tomb, aerial-ace, mud-shot, covet, gyro-ball, natural-gift, fling, poison-jab, night-slash, x-scissor, focus-blast, earth-power, giga-impact, shadow-claw, rock-climb, gunk-shot, stone-edge, captivate, stealth-rock, hone-claws, smack-down, round, bulldoze, work-up, drill-run, confide, high-horsepower, throat-chop, stomping-tantrum, steel-roller, scorching-sands, tera-blast",75,100,110,45,55,65,10,295,1.0,upright,yellow,29.5,450,8.6591648,1105.9717417449956
29,nidoran-f,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, bite, growl, supersonic, disable, ice-beam, blizzard, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, fury-swipes, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, charm, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, poison-fang, aerial-ace, poison-tail, shock-wave, water-pulse, natural-gift, toxic-spikes, poison-jab, earth-power, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, chip-away, confide, venom-drench",55,47,52,40,40,41,4,70,1.0,quadruped,blue,43.74999999999999,275,5.4619347199999995,104.41455809939515
